,race,position,number,Driver,original_team_name,laps,secs,points,year
1371,"Circuit de Monaco, Monaco",6,6,MAS,Ferrari,78,+6.195s,8,2012
1372,"Circuit de Monaco, Monaco",7,11,DIR,Force India Mercedes,78,+41.537s,6,2012
1373,"Circuit de Monaco, Monaco",8,12,HUL,Force India Mercedes,78,+42.562s,4,2012
1374,"Circuit de Monaco, Monaco",9,9,RAI,Lotus Renault,78,+44.036s,2,2012
1375,"Circuit de Monaco, Monaco",10,19,SEN,Williams Renault,78,+44.516s,1,2012
1376,"Circuit de Monaco, Monaco",11,15,PER,Sauber Ferrari,77,+1 lap,0,2012
1377,"Circuit de Monaco, Monaco",12,17,VER,STR Ferrari,77,+1 lap,0,2012
1378,"Circuit de Monaco, Monaco",13,20,KOV,Caterham Renault,77,+1 lap,0,2012
1379,"Circuit de Monaco, Monaco",14,24,GLO,Marussia Cosworth,77,+1 lap,0,2012
1380,"Circuit de Monaco, Monaco",15,23,KAR,HRT Cosworth,76,+2 laps,0,2012
1381,"Circuit de Monaco, Monaco",16,3,BUT,McLaren Mercedes,70,DNF,0,2012
1382,"Circuit de Monaco, Monaco",NC,16,RIC,STR Ferrari,65,DNF,0,2012
1383,"Circuit de Monaco, Monaco",NC,25,PIC,Marussia Cosworth,64,DNF,0,2012
1384,"Circuit de Monaco, Monaco",NC,7,MSC,Mercedes,63,DNF,0,2012
1385,"Circuit de Monaco, Monaco",NC,21,PET,Caterham Renault,15,DNF,0,2012
1386,"Circuit de Monaco, Monaco",NC,14,KOB,Sauber Ferrari,5,DNF,0,2012
1387,"Circuit de Monaco, Monaco",NC,10,GRO,Lotus Renault,0,DNF,0,2012
1388,"Circuit de Monaco, Monaco",NC,22,DLR,HRT Cosworth,0,DNF,0,2012
1389,"Circuit de Monaco, Monaco",NC,18,MAL,Williams Renault,0,DNF,0,2012
1390,"Circuit Gilles-Villeneuve, Canada",1,4,HAM,McLaren Mercedes,70,32:29.6,25,2012
1391,"Circuit Gilles-Villeneuve, Canada",2,10,GRO,Lotus Renault,70,+2.513s,18,2012
1392,"Circuit Gilles-Villeneuve, Canada",3,15,PER,Sauber Ferrari,70,+5.260s,15,2012
1393,"Circuit Gilles-Villeneuve, Canada",4,1,VET,Red Bull Racing Renault,70,+7.295s,12,2012
1394,"Circuit Gilles-Villeneuve, Canada",5,5,ALO,Ferrari,70,+13.411s,10,2012
1395,"Circuit Gilles-Villeneuve, Canada",6,8,ROS,Mercedes,70,+13.842s,8,2012
1396,"Circuit Gilles-Villeneuve, Canada",7,2,WEB,Red Bull Racing Renault,70,+15.085s,6,2012
1397,"Circuit Gilles-Villeneuve, Canada",8,9,RAI,Lotus Renault,70,+15.567s,4,2012
1398,"Circuit Gilles-Villeneuve, Canada",9,14,KOB,Sauber Ferrari,70,+24.432s,2,2012
1399,"Circuit Gilles-Villeneuve, Canada",10,6,MAS,Ferrari,70,+25.272s,1,2012
1400,"Circuit Gilles-Villeneuve, Canada",11,11,DIR,Force India Mercedes,70,+37.693s,0,2012
1401,"Circuit Gilles-Villeneuve, Canada",12,12,HUL,Force India Mercedes,70,+46.236s,0,2012
1402,"Circuit Gilles-Villeneuve, Canada",13,18,MAL,Williams Renault,70,+47.052s,0,2012
1403,"Circuit Gilles-Villeneuve, Canada",14,16,RIC,STR Ferrari,70,+64.475s,0,2012
1404,"Circuit Gilles-Villeneuve, Canada",15,17,VER,STR Ferrari,69,+1 lap,0,2012
1405,"Circuit Gilles-Villeneuve, Canada",16,3,BUT,McLaren Mercedes,69,+1 lap,0,2012
1406,"Circuit Gilles-Villeneuve, Canada",17,19,SEN,Williams Renault,69,+1 lap,0,2012
1407,"Circuit Gilles-Villeneuve, Canada",18,20,KOV,Caterham Renault,69,+1 lap,0,2012
1408,"Circuit Gilles-Villeneuve, Canada",19,21,PET,Caterham Renault,69,+1 lap,0,2012
1409,"Circuit Gilles-Villeneuve, Canada",20,25,PIC,Marussia Cosworth,67,+3 laps,0,2012
1410,"Circuit Gilles-Villeneuve, Canada",NC,24,GLO,Marussia Cosworth,56,DNF,0,2012
1411,"Circuit Gilles-Villeneuve, Canada",NC,7,MSC,Mercedes,43,DNF,0,2012
1412,"Circuit Gilles-Villeneuve, Canada",NC,22,DLR,HRT Cosworth,24,DNF,0,2012
1413,"Circuit Gilles-Villeneuve, Canada",NC,23,KAR,HRT Cosworth,22,DNF,0,2012
1414,"Valencia Street Circuit, Spain",1,5,ALO,Ferrari,57,44:16.6,25,2012
1415,"Valencia Street Circuit, Spain",2,9,RAI,Lotus Renault,57,+6.421s,18,2012
1416,"Valencia Street Circuit, Spain",3,7,MSC,Mercedes,57,+12.639s,15,2012
1417,"Valencia Street Circuit, Spain",4,2,WEB,Red Bull Racing Renault,57,+13.628s,12,2012
1418,"Valencia Street Circuit, Spain",5,12,HUL,Force India Mercedes,57,+19.993s,10,2012
1419,"Valencia Street Circuit, Spain",6,8,ROS,Mercedes,57,+21.176s,8,2012
1420,"Valencia Street Circuit, Spain",7,11,DIR,Force India Mercedes,57,+22.866s,6,2012
1421,"Valencia Street Circuit, Spain",8,3,BUT,McLaren Mercedes,57,+24.653s,4,2012
1422,"Valencia Street Circuit, Spain",9,15,PER,Sauber Ferrari,57,+27.777s,2,2012
1423,"Valencia Street Circuit, Spain",10,19,SEN,Williams Renault,57,+35.961s,1,2012
1424,"Valencia Street Circuit, Spain",11,16,RIC,STR Ferrari,57,+37.041s,0,2012
1425,"Valencia Street Circuit, Spain",12,18,MAL,Williams Renault,57,+54.630s,0,2012
1426,"Valencia Street Circuit, Spain",13,21,PET,Caterham Renault,57,+75.871s,0,2012
1427,"Valencia Street Circuit, Spain",14,20,KOV,Caterham Renault,57,+94.654s,0,2012
1428,"Valencia Street Circuit, Spain",15,25,PIC,Marussia Cosworth,57,+96.551s,0,2012
1429,"Valencia Street Circuit, Spain",16,6,MAS,Ferrari,56,+1 lap,0,2012
1430,"Valencia Street Circuit, Spain",17,22,DLR,HRT Cosworth,56,+1 lap,0,2012
1431,"Valencia Street Circuit, Spain",18,23,KAR,HRT Cosworth,56,+1 lap,0,2012
1432,"Valencia Street Circuit, Spain",19,4,HAM,McLaren Mercedes,55,DNF,0,2012
1433,"Valencia Street Circuit, Spain",NC,10,GRO,Lotus Renault,40,DNF,0,2012
1434,"Valencia Street Circuit, Spain",NC,1,VET,Red Bull Racing Renault,33,DNF,0,2012
1435,"Valencia Street Circuit, Spain",NC,14,KOB,Sauber Ferrari,33,DNF,0,2012
1436,"Valencia Street Circuit, Spain",NC,17,VER,STR Ferrari,26,DNF,0,2012
1437,"Silverstone Circuit, Great Britain",1,2,WEB,Red Bull Racing Renault,52,25:11.3,25,2012
1438,"Silverstone Circuit, Great Britain",2,5,ALO,Ferrari,52,+3.060s,18,2012
1439,"Silverstone Circuit, Great Britain",3,1,VET,Red Bull Racing Renault,52,+4.836s,15,2012
1440,"Silverstone Circuit, Great Britain",4,6,MAS,Ferrari,52,+9.519s,12,2012
1441,"Silverstone Circuit, Great Britain",5,9,RAI,Lotus Renault,52,+10.314s,10,2012
1442,"Silverstone Circuit, Great Britain",6,10,GRO,Lotus Renault,52,+17.101s,8,2012
1443,"Silverstone Circuit, Great Britain",7,7,MSC,Mercedes,52,+29.153s,6,2012
1444,"Silverstone Circuit, Great Britain",8,4,HAM,McLaren Mercedes,52,+36.463s,4,2012
1445,"Silverstone Circuit, Great Britain",9,19,SEN,Williams Renault,52,+43.347s,2,2012
1446,"Silverstone Circuit, Great Britain",10,3,BUT,McLaren Mercedes,52,+44.444s,1,2012
1447,"Silverstone Circuit, Great Britain",11,14,KOB,Sauber Ferrari,52,+45.370s,0,2012
1448,"Silverstone Circuit, Great Britain",12,12,HUL,Force India Mercedes,52,+47.856s,0,2012
1449,"Silverstone Circuit, Great Britain",13,16,RIC,STR Ferrari,52,+51.241s,0,2012
1450,"Silverstone Circuit, Great Britain",14,17,VER,STR Ferrari,52,+53.313s,0,2012
1451,"Silverstone Circuit, Great Britain",15,8,ROS,Mercedes,52,+57.394s,0,2012
1452,"Silverstone Circuit, Great Britain",16,18,MAL,Williams Renault,51,+1 lap,0,2012
1453,"Silverstone Circuit, Great Britain",17,20,KOV,Caterham Renault,51,+1 lap,0,2012
1454,"Silverstone Circuit, Great Britain",18,24,GLO,Marussia Cosworth,51,+1 lap,0,2012
1455,"Silverstone Circuit, Great Britain",19,25,PIC,Marussia Cosworth,51,+1 lap,0,2012
1456,"Silverstone Circuit, Great Britain",20,22,DLR,HRT Cosworth,50,+2 laps,0,2012
1457,"Silverstone Circuit, Great Britain",21,23,KAR,HRT Cosworth,50,+2 laps,0,2012
1458,"Silverstone Circuit, Great Britain",NC,15,PER,Sauber Ferrari,11,DNF,0,2012
1459,"Silverstone Circuit, Great Britain",NC,11,DIR,Force India Mercedes,2,DNF,0,2012
1460,"Silverstone Circuit, Great Britain",NC,21,PET,Caterham Renault,,DNS,0,2012
1461,"Hockenheimring, Germany",1,5,ALO,Ferrari,67,31:05.9,25,2012
1462,"Hockenheimring, Germany",2,3,BUT,McLaren Mercedes,67,+6.949s,18,2012
1463,"Hockenheimring, Germany",3,9,RAI,Lotus Renault,67,+16.409s,15,2012
1464,"Hockenheimring, Germany",4,14,KOB,Sauber Ferrari,67,+21.925s,12,2012
1465,"Hockenheimring, Germany",5,1,VET,Red Bull Racing Renault,67,+23.732s,10,2012
1466,"Hockenheimring, Germany",6,15,PER,Sauber Ferrari,67,+27.896s,8,2012
1467,"Hockenheimring, Germany",7,7,MSC,Mercedes,67,+28.970s,6,2012
1468,"Hockenheimring, Germany",8,2,WEB,Red Bull Racing Renault,67,+46.941s,4,2012
1469,"Hockenheimring, Germany",9,12,HUL,Force India Mercedes,67,+48.162s,2,2012
1470,"Hockenheimring, Germany",10,8,ROS,Mercedes,67,+48.889s,1,2012
1471,"Hockenheimring, Germany",11,11,DIR,Force India Mercedes,67,+59.227s,0,2012
1472,"Hockenheimring, Germany",12,6,MAS,Ferrari,67,+71.428s,0,2012
1473,"Hockenheimring, Germany",13,16,RIC,STR Ferrari,67,+76.829s,0,2012
1474,"Hockenheimring, Germany",14,17,VER,STR Ferrari,67,+76.965s,0,2012
1475,"Hockenheimring, Germany",15,18,MAL,Williams Renault,66,+1 lap,0,2012
1476,"Hockenheimring, Germany",16,21,PET,Caterham Renault,66,+1 lap,0,2012
1477,"Hockenheimring, Germany",17,19,SEN,Williams Renault,66,+1 lap,0,2012
1478,"Hockenheimring, Germany",18,10,GRO,Lotus Renault,66,+1 lap,0,2012
1479,"Hockenheimring, Germany",19,20,KOV,Caterham Renault,65,+2 laps,0,2012
1480,"Hockenheimring, Germany",20,25,PIC,Marussia Cosworth,65,+2 laps,0,2012
1481,"Hockenheimring, Germany",21,22,DLR,HRT Cosworth,64,+3 laps,0,2012
1482,"Hockenheimring, Germany",22,24,GLO,Marussia Cosworth,64,+3 laps,0,2012
1483,"Hockenheimring, Germany",23,23,KAR,HRT Cosworth,64,+3 laps,0,2012
1484,"Hockenheimring, Germany",NC,4,HAM,McLaren Mercedes,56,DNF,0,2012
1485,"Hungaroring, Hungary",1,4,HAM,McLaren Mercedes,69,41:05.5,25,2012
1486,"Hungaroring, Hungary",2,9,RAI,Lotus Renault,69,+1.032s,18,2012
1487,"Hungaroring, Hungary",3,10,GRO,Lotus Renault,69,+10.518s,15,2012
1488,"Hungaroring, Hungary",4,1,VET,Red Bull Racing Renault,69,+11.614s,12,2012
1489,"Hungaroring, Hungary",5,5,ALO,Ferrari,69,+26.653s,10,2012
1490,"Hungaroring, Hungary",6,3,BUT,McLaren Mercedes,69,+30.243s,8,2012
1491,"Hungaroring, Hungary",7,19,SEN,Williams Renault,69,+33.899s,6,2012
1492,"Hungaroring, Hungary",8,2,WEB,Red Bull Racing Renault,69,+34.458s,4,2012
1493,"Hungaroring, Hungary",9,6,MAS,Ferrari,69,+38.350s,2,2012
1494,"Hungaroring, Hungary",10,8,ROS,Mercedes,69,+51.234s,1,2012
1495,"Hungaroring, Hungary",11,12,HUL,Force India Mercedes,69,+57.283s,0,2012
1496,"Hungaroring, Hungary",12,11,DIR,Force India Mercedes,69,+62.887s,0,2012
1497,"Hungaroring, Hungary",13,18,MAL,Williams Renault,69,+63.606s,0,2012
1498,"Hungaroring, Hungary",14,15,PER,Sauber Ferrari,69,+64.494s,0,2012
1499,"Hungaroring, Hungary",15,16,RIC,STR Ferrari,68,+1 lap,0,2012
1500,"Hungaroring, Hungary",16,17,VER,STR Ferrari,68,+1 lap,0,2012
1501,"Hungaroring, Hungary",17,20,KOV,Caterham Renault,68,+1 lap,0,2012
1502,"Hungaroring, Hungary",18,14,KOB,Sauber Ferrari,67,DNF,0,2012
1503,"Hungaroring, Hungary",19,21,PET,Caterham Renault,67,+2 laps,0,2012
1504,"Hungaroring, Hungary",20,25,PIC,Marussia Cosworth,67,+2 laps,0,2012
1505,"Hungaroring, Hungary",21,24,GLO,Marussia Cosworth,66,+3 laps,0,2012
1506,"Hungaroring, Hungary",22,22,DLR,HRT Cosworth,66,+3 laps,0,2012
1507,"Hungaroring, Hungary",NC,23,KAR,HRT Cosworth,60,DNF,0,2012
1508,"Hungaroring, Hungary",NC,7,MSC,Mercedes,58,DNF,0,2012
1509,"Circuit de Spa-Francorchamps, Belgium",1,3,BUT,McLaren Mercedes,44,29:08.5,25,2012
1510,"Circuit de Spa-Francorchamps, Belgium",2,1,VET,Red Bull Racing Renault,44,+13.624s,18,2012
1511,"Circuit de Spa-Francorchamps, Belgium",3,9,RAI,Lotus Renault,44,+25.334s,15,2012
1512,"Circuit de Spa-Francorchamps, Belgium",4,12,HUL,Force India Mercedes,44,+27.843s,12,2012
1513,"Circuit de Spa-Francorchamps, Belgium",5,6,MAS,Ferrari,44,+29.845s,10,2012
1514,"Circuit de Spa-Francorchamps, Belgium",6,2,WEB,Red Bull Racing Renault,44,+31.244s,8,2012
1515,"Circuit de Spa-Francorchamps, Belgium",7,7,MSC,Mercedes,44,+53.374s,6,2012
1516,"Circuit de Spa-Francorchamps, Belgium",8,17,VER,STR Ferrari,44,+58.865s,4,2012
1517,"Circuit de Spa-Francorchamps, Belgium",9,16,RIC,STR Ferrari,44,+62.982s,2,2012
1518,"Circuit de Spa-Francorchamps, Belgium",10,11,DIR,Force India Mercedes,44,+63.783s,1,2012
1519,"Circuit de Spa-Francorchamps, Belgium",11,8,ROS,Mercedes,44,+65.111s,0,2012
1520,"Circuit de Spa-Francorchamps, Belgium",12,19,SEN,Williams Renault,44,+71.529s,0,2012
1521,"Circuit de Spa-Francorchamps, Belgium",13,14,KOB,Sauber Ferrari,44,+116.119s,0,2012
1522,"Circuit de Spa-Francorchamps, Belgium",14,21,PET,Caterham Renault,43,+1 lap,0,2012
1523,"Circuit de Spa-Francorchamps, Belgium",15,24,GLO,Marussia Cosworth,43,+1 lap,0,2012
1524,"Circuit de Spa-Francorchamps, Belgium",16,25,PIC,Marussia Cosworth,43,+1 lap,0,2012
1525,"Circuit de Spa-Francorchamps, Belgium",17,20,KOV,Caterham Renault,43,+1 lap,0,2012
1526,"Circuit de Spa-Francorchamps, Belgium",18,22,DLR,HRT Cosworth,43,+1 lap,0,2012
1527,"Circuit de Spa-Francorchamps, Belgium",NC,23,KAR,HRT Cosworth,29,DNF,0,2012
1528,"Circuit de Spa-Francorchamps, Belgium",NC,18,MAL,Williams Renault,4,DNF,0,2012
1529,"Circuit de Spa-Francorchamps, Belgium",NC,15,PER,Sauber Ferrari,0,DNF,0,2012
1530,"Circuit de Spa-Francorchamps, Belgium",NC,5,ALO,Ferrari,0,DNF,0,2012
1531,"Circuit de Spa-Francorchamps, Belgium",NC,4,HAM,McLaren Mercedes,0,DNF,0,2012
1532,"Circuit de Spa-Francorchamps, Belgium",NC,10,GRO,Lotus Renault,0,DNF,0,2012
1533,"Autodromo Nazionale Monza, Italy",1,4,HAM,McLaren Mercedes,53,19:41.2,25,2012
1534,"Autodromo Nazionale Monza, Italy",2,15,PER,Sauber Ferrari,53,+4.356s,18,2012
1535,"Autodromo Nazionale Monza, Italy",3,5,ALO,Ferrari,53,+20.594s,15,2012
1536,"Autodromo Nazionale Monza, Italy",4,6,MAS,Ferrari,53,+29.667s,12,2012
1537,"Autodromo Nazionale Monza, Italy",5,9,RAI,Lotus Renault,53,+30.881s,10,2012
1538,"Autodromo Nazionale Monza, Italy",6,7,MSC,Mercedes,53,+31.259s,8,2012
1539,"Autodromo Nazionale Monza, Italy",7,8,ROS,Mercedes,53,+33.550s,6,2012
1540,"Autodromo Nazionale Monza, Italy",8,11,DIR,Force India Mercedes,53,+41.057s,4,2012
1541,"Autodromo Nazionale Monza, Italy",9,14,KOB,Sauber Ferrari,53,+43.898s,2,2012
1542,"Autodromo Nazionale Monza, Italy",10,19,SEN,Williams Renault,53,+48.144s,1,2012
1543,"Autodromo Nazionale Monza, Italy",11,18,MAL,Williams Renault,53,+48.682s,0,2012
1544,"Autodromo Nazionale Monza, Italy",12,16,RIC,STR Ferrari,53,+50.316s,0,2012
1545,"Autodromo Nazionale Monza, Italy",13,10,DAM,Lotus Renault,53,+75.861s,0,2012
1546,"Autodromo Nazionale Monza, Italy",14,20,KOV,Caterham Renault,52,+1 lap,0,2012
1547,"Autodromo Nazionale Monza, Italy",15,21,PET,Caterham Renault,52,+1 lap,0,2012
1548,"Autodromo Nazionale Monza, Italy",16,25,PIC,Marussia Cosworth,52,+1 lap,0,2012
1549,"Autodromo Nazionale Monza, Italy",17,24,GLO,Marussia Cosworth,52,+1 lap,0,2012
1550,"Autodromo Nazionale Monza, Italy",18,22,DLR,HRT Cosworth,52,+1 lap,0,2012
1551,"Autodromo Nazionale Monza, Italy",19,23,KAR,HRT Cosworth,52,+1 lap,0,2012
1552,"Autodromo Nazionale Monza, Italy",20,2,WEB,Red Bull Racing Renault,51,DNF,0,2012
1553,"Autodromo Nazionale Monza, Italy",21,12,HUL,Force India Mercedes,50,DNF,0,2012
1554,"Autodromo Nazionale Monza, Italy",22,1,VET,Red Bull Racing Renault,47,DNF,0,2012
1555,"Autodromo Nazionale Monza, Italy",NC,3,BUT,McLaren Mercedes,32,DNF,0,2012
1556,"Autodromo Nazionale Monza, Italy",NC,17,VER,STR Ferrari,8,DNF,0,2012
1557,"Marina Bay Street Circuit, Singapore",1,1,VET,Red Bull Racing Renault,59,00:26.1,25,2012
1558,"Marina Bay Street Circuit, Singapore",2,3,BUT,McLaren Mercedes,59,+8.959s,18,2012
1559,"Marina Bay Street Circuit, Singapore",3,5,ALO,Ferrari,59,+15.227s,15,2012
1560,"Marina Bay Street Circuit, Singapore",4,11,DIR,Force India Mercedes,59,+19.063s,12,2012
1561,"Marina Bay Street Circuit, Singapore",5,8,ROS,Mercedes,59,+34.784s,10,2012
1562,"Marina Bay Street Circuit, Singapore",6,9,RAI,Lotus Renault,59,+35.759s,8,2012
1563,"Marina Bay Street Circuit, Singapore",7,10,GRO,Lotus Renault,59,+36.698s,6,2012
1564,"Marina Bay Street Circuit, Singapore",8,6,MAS,Ferrari,59,+42.829s,4,2012
1565,"Marina Bay Street Circuit, Singapore",9,16,RIC,STR Ferrari,59,+45.820s,2,2012
1566,"Marina Bay Street Circuit, Singapore",10,15,PER,Sauber Ferrari,59,+50.619s,1,2012
1567,"Marina Bay Street Circuit, Singapore",11,2,WEB,Red Bull Racing Renault,59,+67.175s,0,2012
1568,"Marina Bay Street Circuit, Singapore",12,24,GLO,Marussia Cosworth,59,+91.918s,0,2012
1569,"Marina Bay Street Circuit, Singapore",13,14,KOB,Sauber Ferrari,59,+97.141s,0,2012
1570,"Marina Bay Street Circuit, Singapore",14,12,HUL,Force India Mercedes,59,+99.413s,0,2012
1571,"Marina Bay Street Circuit, Singapore",15,20,KOV,Caterham Renault,59,+107.967s,0,2012
1572,"Marina Bay Street Circuit, Singapore",16,25,PIC,Marussia Cosworth,59,+132.925s,0,2012
1573,"Marina Bay Street Circuit, Singapore",17,22,DLR,HRT Cosworth,58,+1 lap,0,2012
1574,"Marina Bay Street Circuit, Singapore",18,19,SEN,Williams Renault,57,DNF,0,2012
1575,"Marina Bay Street Circuit, Singapore",19,21,PET,Caterham Renault,57,+2 laps,0,2012
1576,"Marina Bay Street Circuit, Singapore",NC,17,VER,STR Ferrari,38,DNF,0,2012
1577,"Marina Bay Street Circuit, Singapore",NC,7,MSC,Mercedes,38,DNF,0,2012
1578,"Marina Bay Street Circuit, Singapore",NC,18,MAL,Williams Renault,36,DNF,0,2012
1579,"Marina Bay Street Circuit, Singapore",NC,23,KAR,HRT Cosworth,30,DNF,0,2012
1580,"Marina Bay Street Circuit, Singapore",NC,4,HAM,McLaren Mercedes,22,DNF,0,2012
1581,"Suzuka International Racing Course, Japan",1,1,VET,Red Bull Racing Renault,53,28:56.2,25,2012
1582,"Suzuka International Racing Course, Japan",2,6,MAS,Ferrari,53,+20.639s,18,2012
1583,"Suzuka International Racing Course, Japan",3,14,KOB,Sauber Ferrari,53,+24.538s,15,2012
1584,"Suzuka International Racing Course, Japan",4,3,BUT,McLaren Mercedes,53,+25.098s,12,2012
1585,"Suzuka International Racing Course, Japan",5,4,HAM,McLaren Mercedes,53,+46.490s,10,2012
1586,"Suzuka International Racing Course, Japan",6,9,RAI,Lotus Renault,53,+50.424s,8,2012
1587,"Suzuka International Racing Course, Japan",7,12,HUL,Force India Mercedes,53,+51.159s,6,2012
1588,"Suzuka International Racing Course, Japan",8,18,MAL,Williams Renault,53,+52.364s,4,2012
1589,"Suzuka International Racing Course, Japan",9,2,WEB,Red Bull Racing Renault,53,+54.675s,2,2012
1590,"Suzuka International Racing Course, Japan",10,16,RIC,STR Ferrari,53,+66.919s,1,2012
1591,"Suzuka International Racing Course, Japan",11,7,MSC,Mercedes,53,+67.769s,0,2012
1592,"Suzuka International Racing Course, Japan",12,11,DIR,Force India Mercedes,53,+83.460s,0,2012
1593,"Suzuka International Racing Course, Japan",13,17,VER,STR Ferrari,53,+88.645s,0,2012
1594,"Suzuka International Racing Course, Japan",14,19,SEN,Williams Renault,53,+88.709s,0,2012
1595,"Suzuka International Racing Course, Japan",15,20,KOV,Caterham Renault,52,+1 lap,0,2012
1596,"Suzuka International Racing Course, Japan",16,24,GLO,Marussia Cosworth,52,+1 lap,0,2012
1597,"Suzuka International Racing Course, Japan",17,21,PET,Caterham Renault,52,+1 lap,0,2012
1598,"Suzuka International Racing Course, Japan",18,22,DLR,HRT Cosworth,52,+1 lap,0,2012
1599,"Suzuka International Racing Course, Japan",19,10,GRO,Lotus Renault,51,DNF,0,2012
1600,"Suzuka International Racing Course, Japan",NC,25,PIC,Marussia Cosworth,37,DNF,0,2012
1601,"Suzuka International Racing Course, Japan",NC,23,KAR,HRT Cosworth,32,DNF,0,2012
1602,"Suzuka International Racing Course, Japan",NC,15,PER,Sauber Ferrari,18,DNF,0,2012
1603,"Suzuka International Racing Course, Japan",NC,5,ALO,Ferrari,0,DNF,0,2012
1604,"Suzuka International Racing Course, Japan",NC,8,ROS,Mercedes,0,DNF,0,2012
1605,"Korean International Circuit, South Korea",1,1,VET,Red Bull Racing Renault,55,36:28.7,25,2012
1606,"Korean International Circuit, South Korea",2,2,WEB,Red Bull Racing Renault,55,+8.231s,18,2012
1607,"Korean International Circuit, South Korea",3,5,ALO,Ferrari,55,+13.944s,15,2012
1608,"Korean International Circuit, South Korea",4,6,MAS,Ferrari,55,+20.168s,12,2012
1609,"Korean International Circuit, South Korea",5,9,RAI,Lotus Renault,55,+36.739s,10,2012
1610,"Korean International Circuit, South Korea",6,12,HUL,Force India Mercedes,55,+45.301s,8,2012
1611,"Korean International Circuit, South Korea",7,10,GRO,Lotus Renault,55,+54.812s,6,2012
1612,"Korean International Circuit, South Korea",8,17,VER,STR Ferrari,55,+69.589s,4,2012
1613,"Korean International Circuit, South Korea",9,16,RIC,STR Ferrari,55,+71.787s,2,2012
1614,"Korean International Circuit, South Korea",10,4,HAM,McLaren Mercedes,55,+79.692s,1,2012
1615,"Korean International Circuit, South Korea",11,15,PER,Sauber Ferrari,55,+80.062s,0,2012
1616,"Korean International Circuit, South Korea",12,11,DIR,Force India Mercedes,55,+84.448s,0,2012
1617,"Korean International Circuit, South Korea",13,7,MSC,Mercedes,55,+89.241s,0,2012
1618,"Korean International Circuit, South Korea",14,18,MAL,Williams Renault,55,+94.924s,0,2012
1619,"Korean International Circuit, South Korea",15,19,SEN,Williams Renault,55,+96.902s,0,2012
1620,"Korean International Circuit, South Korea",16,21,PET,Caterham Renault,54,+1 lap,0,2012
1621,"Korean International Circuit, South Korea",17,20,KOV,Caterham Renault,54,+1 lap,0,2012
1622,"Korean International Circuit, South Korea",18,24,GLO,Marussia Cosworth,54,+1 lap,0,2012
1623,"Korean International Circuit, South Korea",19,25,PIC,Marussia Cosworth,53,+2 laps,0,2012
1624,"Korean International Circuit, South Korea",20,23,KAR,HRT Cosworth,53,+2 laps,0,2012
1625,"Korean International Circuit, South Korea",NC,22,DLR,HRT Cosworth,16,DNF,0,2012
1626,"Korean International Circuit, South Korea",NC,14,KOB,Sauber Ferrari,16,DNF,0,2012
1627,"Korean International Circuit, South Korea",NC,8,ROS,Mercedes,1,DNF,0,2012
1628,"Korean International Circuit, South Korea",NC,3,BUT,McLaren Mercedes,0,DNF,0,2012
1629,"Buddh International Circuit, India",1,1,VET,Red Bull Racing Renault,60,31:10.7,25,2012
1630,"Buddh International Circuit, India",2,5,ALO,Ferrari,60,+9.437s,18,2012
1631,"Buddh International Circuit, India",3,2,WEB,Red Bull Racing Renault,60,+13.217s,15,2012
1632,"Buddh International Circuit, India",4,4,HAM,McLaren Mercedes,60,+13.909s,12,2012
1633,"Buddh International Circuit, India",5,3,BUT,McLaren Mercedes,60,+26.266s,10,2012
1634,"Buddh International Circuit, India",6,6,MAS,Ferrari,60,+44.674s,8,2012
1635,"Buddh International Circuit, India",7,9,RAI,Lotus Renault,60,+45.227s,6,2012
1636,"Buddh International Circuit, India",8,12,HUL,Force India Mercedes,60,+54.998s,4,2012
1637,"Buddh International Circuit, India",9,10,GRO,Lotus Renault,60,+56.103s,2,2012
1638,"Buddh International Circuit, India",10,19,SEN,Williams Renault,60,+74.975s,1,2012
1639,"Buddh International Circuit, India",11,8,ROS,Mercedes,60,+81.694s,0,2012
1640,"Buddh International Circuit, India",12,11,DIR,Force India Mercedes,60,+82.815s,0,2012
1641,"Buddh International Circuit, India",13,16,RIC,STR Ferrari,60,+86.064s,0,2012
1642,"Buddh International Circuit, India",14,14,KOB,Sauber Ferrari,60,+86.495s,0,2012
1643,"Buddh International Circuit, India",15,17,VER,STR Ferrari,59,+1 lap,0,2012
1644,"Buddh International Circuit, India",16,18,MAL,Williams Renault,59,+1 lap,0,2012
1645,"Buddh International Circuit, India",17,21,PET,Caterham Renault,59,+1 lap,0,2012
1646,"Buddh International Circuit, India",18,20,KOV,Caterham Renault,59,+1 lap,0,2012
1647,"Buddh International Circuit, India",19,25,PIC,Marussia Cosworth,59,+1 lap,0,2012
1648,"Buddh International Circuit, India",20,24,GLO,Marussia Cosworth,58,+2 laps,0,2012
1649,"Buddh International Circuit, India",21,23,KAR,HRT Cosworth,58,+2 laps,0,2012
1650,"Buddh International Circuit, India",22,7,MSC,Mercedes,55,DNF,0,2012
1651,"Buddh International Circuit, India",NC,22,DLR,HRT Cosworth,42,DNF,0,2012
1652,"Buddh International Circuit, India",NC,15,PER,Sauber Ferrari,20,DNF,0,2012
1653,"Yas Marina Circuit, Abu Dhabi",1,9,RAI,Lotus Renault,55,45:58.7,25,2012
1654,"Yas Marina Circuit, Abu Dhabi",2,5,ALO,Ferrari,55,+0.852s,18,2012
1655,"Yas Marina Circuit, Abu Dhabi",3,1,VET,Red Bull Racing Renault,55,+4.163s,15,2012
